branch,cgpa,tenth_percentage,twelfth_percentage,programming_skill,communication_skill,problem_solving,teamwork,leadership,internships,projects,certifications,hackathons,backlogs,resume_score,aptitude_score,coding_score,communication_test,placement_score,placed
CSE,6.5,74.6,73.3,5.3,7.5,6.5,6.0,4.8,1,4,0,1,0,61.2,58.9,56.6,78.3,39.2,0
CSE,7.41,94.5,53.1,4.2,7.7,4.4,9.5,2.6,1,2,0,2,0,62.4,40.8,41.2,70.2,32.4,0
EEE,7.53,74.4,76.9,7.1,4.8,7.8,3.7,4.3,1,3,4,1,1,91.1,41.3,79.3,41.0,57.8,1
IT,5.89,95.9,83.1,9.0,4.7,6.5,6.0,7.3,1,3,0,1,0,67.2,47.0,82.6,47.9,42.9,0
AIML,8.36,70.1,57.5,7.4,4.9,8.0,8.8,8.0,1,2,2,1,0,81.9,50.4,66.7,56.5,55.0,1
CSE,7.83,88.2,61.0,7.8,6.3,4.0,6.4,5.9,3,2,1,0,1,71.7,33.3,73.7,76.2,51.8,1
MECH,6.42,75.4,85.2,5.0,6.1,6.9,9.4,4.4,1,2,1,0,1,52.0,55.6,43.0,63.8,31.0,0
EEE,5.51,81.2,95.5,2.8,4.8,7.7,4.7,8.7,1,3,2,3,4,51.1,59.4,31.8,49.3,26.0,0
CSE,7.04,53.7,72.8,9.0,7.0,5.4,5.3,4.3,1,2,2,3,0,87.6,42.3,79.1,64.2,60.0,1
CSE,6.71,100.0,69.2,10.0,10.0,3.8,6.2,3.2,1,5,4,2,1,94.1,21.7,84.3,100.0,71.1,1
ECE,7.32,81.8,77.6,9.1,5.6,6.1,7.6,6.9,0,3,1,0,1,57.4,43.1,82.5,51.4,37.6,0
AIML,6.8,90.2,92.6,5.3,5.7,8.5,6.7,6.4,1,2,2,0,0,56.4,76.8,56.7,58.1,46.1,0
ECE,4.99,61.5,63.9,3.7,7.5,8.3,6.3,4.4,2,3,1,0,1,56.9,62.8,47.1,68.1,29.9,0
MECH,6.77,80.1,68.7,3.9,5.5,5.4,9.1,5.7,2,2,2,1,0,58.0,38.5,37.0,45.9,37.6,0
IT,6.86,75.8,68.4,2.6,7.7,3.8,9.3,6.4,1,4,0,0,1,64.1,39.2,31.6,94.8,27.8,0
ECE,7.9,65.3,56.6,5.8,5.2,5.4,6.4,5.9,1,2,2,2,1,71.1,33.6,51.2,58.0,44.9,0
DS,6.43,93.4,86.1,9.2,9.8,5.3,4.4,6.4,1,1,1,1,1,60.7,54.3,75.4,97.5,49.9,0
DS,9.05,79.8,78.4,5.7,7.1,7.0,3.8,4.5,1,0,1,1,0,53.4,68.9,51.9,73.3,67.5,1
ECE,5.1,77.4,48.8,6.6,5.4,6.0,7.4,6.6,2,5,2,3,3,69.0,39.9,62.0,64.4,42.0,0
EEE,8.64,85.5,74.9,8.8,5.4,4.8,8.0,5.5,2,2,1,2,2,78.8,45.5,86.3,57.9,44.3,0
ECE,6.95,67.7,96.6,5.2,5.6,8.3,7.1,4.6,0,1,2,1,3,52.9,49.1,57.9,62.5,26.9,0
ECE,8.15,79.9,78.6,10.0,9.0,6.5,6.9,5.0,2,2,2,0,0,76.2,52.5,89.7,84.6,79.4,1
CSE,7.29,79.1,95.9,10.0,4.2,7.0,5.8,5.3,2,2,0,3,0,68.9,48.1,93.6,42.7,58.6,1
MECH,8.45,79.6,67.7,5.7,5.3,2.9,8.0,2.6,0,1,1,0,0,54.0,27.4,43.3,46.5,17.1,0
MECH,6.77,90.3,87.6,4.8,5.5,1.6,9.5,4.2,0,3,3,0,0,67.5,15.3,30.0,60.1,17.5,0
CSE,5.99,72.9,92.1,7.4,6.5,3.5,3.7,5.6,2,1,4,2,0,85.3,25.5,59.2,58.7,52.1,1
ECE,8.76,71.6,74.1,5.3,6.0,5.3,6.9,2.8,1,2,1,0,1,54.3,33.6,45.7,60.2,30.5,0
AIML,7.08,70.6,69.7,3.7,3.8,7.3,5.5,4.3,2,2,0,1,0,59.7,65.7,60.9,44.9,35.4,0
CSE,7.44,70.1,89.3,8.6,5.8,1.7,4.8,10.0,0,2,0,1,1,51.4,13.7,85.5,58.6,20.8,0
CSE,8.56,91.2,82.0,8.4,6.3,9.2,5.3,3.2,0,2,3,1,1,76.2,68.2,99.3,68.4,71.9,1
EEE,6.06,77.2,87.4,6.3,5.4,6.5,7.6,4.7,0,3,2,3,3,59.5,48.1,55.0,52.3,34.6,0
DS,7.86,90.3,80.4,3.5,7.7,8.8,7.6,3.8,1,1,1,2,2,55.9,69.5,57.6,79.5,38.0,0
CSE,6.55,81.3,74.0,3.5,8.2,4.5,9.2,5.3,1,2,1,0,1,46.1,35.3,32.4,78.7,21.9,0
CIVIL,7.05,67.5,73.8,6.2,6.4,7.2,7.0,3.9,2,1,3,0,2,76.5,59.7,75.5,63.2,51.5,1
IT,7.28,59.9,70.4,5.0,6.9,6.4,4.4,5.0,2,2,1,3,0,64.3,58.5,55.8,64.8,52.9,1
CSE,5.55,60.6,80.2,5.3,2.6,7.8,6.6,4.1,3,2,3,1,0,80.8,70.4,51.1,24.1,53.2,1
IT,6.34,67.3,72.7,8.0,5.7,5.8,4.9,7.6,0,3,1,0,0,66.4,44.2,87.4,54.1,43.9,0
ECE,8.69,90.2,78.3,7.5,8.3,7.1,5.2,5.7,0,3,2,1,1,72.9,60.2,85.2,83.4,55.5,1
CIVIL,8.17,93.6,64.7,8.8,5.7,8.3,7.9,3.5,0,2,2,0,1,73.2,64.7,79.2,54.0,58.2,1
CIVIL,7.13,79.1,63.9,4.0,5.2,5.0,7.3,7.2,1,1,2,0,0,61.1,49.4,44.4,49.9,28.4,0
MECH,7.47,89.1,82.6,5.3,10.0,6.7,7.9,3.6,0,3,2,1,3,69.2,52.2,42.3,100.0,29.8,0
CSE,6.88,71.3,80.1,7.5,9.8,2.6,6.5,2.4,1,5,2,1,2,84.9,21.9,62.6,100.0,42.8,0
IT,8.69,70.5,69.4,6.9,7.3,7.5,8.2,5.5,0,1,2,0,0,56.7,60.1,67.5,79.3,44.8,0
ECE,6.98,87.2,92.9,9.1,8.6,9.9,6.4,9.3,0,1,1,1,0,56.4,83.0,89.5,93.6,66.4,1
CSE,7.46,80.0,64.3,6.8,2.5,3.8,8.7,1.8,1,2,4,2,4,70.6,35.7,73.7,39.3,27.0,0
CSE,8.46,86.8,80.7,9.7,5.1,6.0,7.5,2.8,1,2,4,1,0,84.6,59.3,80.3,52.7,68.8,1
MECH,6.34,78.6,81.0,7.1,5.7,7.9,6.7,7.0,2,2,2,1,0,67.1,72.7,70.8,69.5,64.7,1
CIVIL,8.91,73.5,75.7,8.1,6.1,6.3,7.3,4.2,2,4,0,1,0,82.8,50.4,82.8,71.4,62.4,1
CSE,5.52,75.4,91.5,5.4,5.6,6.5,7.0,6.7,0,2,1,1,0,44.6,51.8,46.6,57.1,24.5,0
MECH,8.99,81.7,96.2,6.0,1.9,5.5,9.4,3.8,2,1,3,2,1,78.2,41.9,53.0,28.1,50.2,1
CSE,6.79,80.9,60.0,7.8,7.2,5.4,7.4,5.8,1,5,4,0,0,93.8,51.2,81.2,68.2,66.3,1
CIVIL,6.93,66.8,45.4,9.2,7.5,6.0,7.0,9.0,1,1,1,0,2,65.6,50.2,95.3,73.7,39.9,0
CSE,5.12,76.5,68.6,7.5,9.4,6.3,6.6,3.1,0,1,2,1,3,50.8,69.9,69.2,81.8,30.4,0
CIVIL,6.7,59.8,62.2,5.8,5.1,4.0,8.3,7.5,2,1,2,0,1,68.2,31.1,60.6,50.5,25.9,0
ECE,6.06,73.8,69.3,8.8,4.9,6.1,8.1,6.9,0,1,1,1,3,54.0,60.8,93.1,57.2,11.4,0
AIML,6.53,67.0,98.7,1.6,1.7,9.2,6.6,2.5,0,3,1,0,0,56.2,85.7,28.4,15.5,26.3,0
CSE,7.05,41.4,100.0,3.2,6.0,5.4,5.3,6.6,0,2,2,0,0,51.5,55.3,41.6,57.1,17.0,0
ECE,8.25,100.0,62.7,7.4,8.1,3.8,5.6,5.6,1,3,0,1,0,62.0,28.2,63.6,82.1,49.7,0
CSE,7.43,68.7,77.9,6.0,5.4,5.9,6.7,5.7,1,3,1,2,2,65.8,46.6,50.6,53.6,42.0,0
AIML,7.54,66.7,77.6,7.2,10.0,4.8,9.0,6.2,2,1,0,1,3,55.8,37.4,67.4,100.0,42.9,0
AIML,5.99,97.5,79.5,6.1,6.0,3.7,6.6,4.8,2,2,4,0,0,74.4,41.0,54.6,68.1,47.0,0
ECE,6.23,63.9,57.2,7.1,6.8,6.5,6.1,5.6,3,2,2,2,0,77.5,48.1,63.6,63.3,70.9,1
CIVIL,9.18,60.6,91.1,4.4,4.0,4.9,4.4,6.0,2,4,2,1,0,80.9,34.2,42.3,38.2,47.5,0
IT,6.39,75.5,86.7,7.1,7.0,5.0,9.3,7.0,0,0,2,0,0,48.7,45.7,65.6,72.7,38.1,0
MECH,9.02,72.1,68.8,8.0,2.9,6.5,7.9,2.4,1,2,4,1,0,84.7,41.3,78.8,30.3,57.4,1
MECH,6.93,70.3,91.0,8.4,7.7,3.3,8.2,8.1,1,4,1,0,1,69.4,32.4,81.4,87.7,44.5,0
CSE,7.2,67.0,56.3,10.0,7.8,2.9,8.4,3.2,1,1,0,0,0,53.3,14.0,93.1,76.2,36.3,0
CSE,8.38,75.7,53.0,6.5,8.9,7.5,6.8,7.0,1,1,1,2,0,66.5,56.5,66.2,92.7,64.7,1
AIML,8.6,97.6,78.4,6.5,4.7,2.5,7.1,5.7,2,3,4,1,0,98.3,29.5,53.6,40.1,56.0,1
AIML,7.08,58.7,80.6,3.0,6.8,4.3,9.2,2.9,0,2,1,1,0,52.0,30.3,41.7,65.7,33.5,0
CIVIL,6.77,88.1,72.9,4.9,7.5,2.8,7.3,6.6,2,2,3,0,1,76.7,24.7,44.4,68.4,28.1,0
ECE,7.14,96.4,89.4,5.6,7.3,5.3,7.9,3.6,0,4,1,0,0,58.7,51.9,51.3,66.1,41.1,0
ECE,7.57,70.5,66.5,8.1,4.9,7.0,8.3,7.6,0,2,2,3,0,65.4,47.0,80.0,49.7,53.9,1
IT,8.18,82.5,90.7,4.8,2.2,6.4,8.0,4.1,1,2,0,0,1,52.4,52.7,38.3,29.9,31.8,0
AIML,7.2,76.5,85.2,7.6,7.1,10.0,6.8,2.5,1,2,1,1,0,62.3,85.2,77.5,80.1,54.1,1
AIML,7.88,57.4,99.2,6.0,6.2,8.3,6.9,8.6,0,3,1,1,3,60.3,54.8,60.7,61.8,25.1,0
IT,9.0,92.6,52.0,5.6,5.5,4.4,8.2,5.9,1,3,2,0,1,68.4,27.1,48.5,58.0,49.1,0
CIVIL,7.62,78.4,68.7,6.5,7.9,3.9,8.2,7.2,1,1,3,3,0,69.1,44.3,62.5,81.1,54.4,1
CSE,7.54,71.7,63.2,5.2,6.4,10.0,8.8,3.8,0,2,4,0,0,66.0,70.8,69.3,62.2,45.0,0
